taylor_seq_len,taylor_num_samples,output_dir,ppl,acc_mean,acc_boolq,acc_piqa,acc_hellaswag,acc_winogrande,acc_arc_easy,acc_arc_challenge,acc_openbookqa,params_count,pruning_ratio,grad_mean_ratio,grad_norm_ratio,grad_std_ratio,grad_max_ratio,grad_mean_range,grad_norm_range,extreme_pruning_layers,elapsed_time,success,pruning_method
128.0,64.0,results/search_Qwen_20/exp_012_taylor_seq_len128_taylor_num_samples64,15.640059471130371,0.5988324907275301,0.8165137614678899,0.7230685527747551,0.633240390360486,0.6519337016574586,0.6380471380471381,0.40102389078498296,0.328,,0.19999924702090882,7.764701819943298,1.838955372888508,,,0.013578005755941073,6.9273804277181625,5.0,,True,taylor
128.0,128.0,results/search_Qwen_20/exp_013_taylor_seq_len128_taylor_num_samples128,15.88283920288086,0.6002806528109698,0.7938837920489297,0.7252448313384113,0.6352320254929297,0.648776637726914,0.6401515151515151,0.41467576791808874,0.344,,0.19999924702090882,7.566265501281374,1.8591494677553515,,,0.0276036129022638,14.878000559906166,5.0,,True,taylor
128.0,256.0,results/search_Qwen_20/exp_014_taylor_seq_len128_taylor_num_samples256,16.348787307739258,0.5986466347870241,0.8045871559633028,0.7121871599564744,0.6323441545508863,0.6503551696921863,0.6548821548821548,0.40017064846416384,0.336,,0.19999924702090882,7.591298958622707,1.9072258251710201,,,0.05697515932843089,31.811007649948195,5.0,,True,taylor
128.0,512.0,results/search_Qwen_20/exp_015_taylor_seq_len128_taylor_num_samples512,15.986189842224121,0.5990341225466239,0.8015290519877676,0.7176278563656148,0.632244572794264,0.6416732438831886,0.6477272727272727,0.4044368600682594,0.348,,0.19999924702090882,7.71247021936212,1.8675130204784358,,,0.11274140491150318,60.33099849584201,5.0,,True,taylor
256.0,4.0,results/search_Qwen_20/exp_016_taylor_seq_len256_taylor_num_samples4,15.553693771362305,0.5846174827873847,0.7868501529051988,0.7018498367791077,0.6203943437562238,0.654301499605367,0.5963804713804713,0.38054607508532423,0.352,,0.19999892767709782,10.55680030211903,3.1308701663662903,,,0.0010469804207483928,0.8097092310587566,5.0,,True,taylor
256.0,64.0,results/search_Qwen_20/exp_017_taylor_seq_len256_taylor_num_samples64,16.279823303222656,0.5985533291247541,0.7975535168195719,0.7154515778019587,0.6285600477992431,0.6606156274664562,0.6355218855218855,0.40017064846416384,0.352,,0.19999924702090882,13.78617531826339,3.3201896715195627,,,0.05986374430358409,50.76892836888631,5.0,,True,taylor
256.0,128.0,results/search_Qwen_20/exp_018_taylor_seq_len256_taylor_num_samples128,16.406824111938477,0.5965170716574335,0.7963302752293578,0.7154515778019587,0.6310495917147978,0.6385161799526441,0.6418350168350169,0.4044368600682594,0.348,,0.19999924702090882,12.960480640371351,3.352677042600716,,,0.12079676116506259,108.00123207767803,5.0,,True,taylor
256.0,256.0,results/search_Qwen_20/exp_019_taylor_seq_len256_taylor_num_samples256,16.687360763549805,0.5983720366382806,0.7853211009174312,0.7138193688792165,0.6281617207727545,0.6479873717442778,0.6531986531986532,0.4121160409556314,0.348,,0.19999924702090882,9.833240188604174,2.3421652516049214,,,0.18629878433421254,126.21368086834748,5.0,,True,taylor
256.0,512.0,results/search_Qwen_20/exp_020_taylor_seq_len256_taylor_num_samples512,16.773061752319336,0.5983063997342876,0.7932721712538227,0.7105549510337323,0.6280621390161323,0.6424625098658248,0.6494107744107744,0.41638225255972694,0.348,,0.19999924702090882,8.227929634969115,1.7226763455233167,,,0.29577836169240374,131.5159391661485,5.0,,True,taylor
32.0,4.0,results/search_Qwen_layerwise_20/exp_001_taylor_seq_len32_taylor_num_samples4,13.044527053833008,0.6053997049973786,0.7116207951070337,0.7480957562568009,0.6733718382792272,0.6306235201262825,0.6531986531986532,0.4308873720136519,0.39,,0.20000151604272376,3.614960339733231,7.05825827904699,,,0.000508531928062439,2.4371913274129233,3.0,949.5709512233734,True,layerwise
32.0,64.0,results/search_Qwen_layerwise_20/exp_002_taylor_seq_len32_taylor_num_samples64,12.233537673950195,0.5931246457942866,0.6749235474006117,0.7600652883569097,0.6738697470623382,0.590370955011839,0.6401515151515151,0.3924914675767918,0.42,,0.20000151604272376,4.470206401372303,5.392683944109145,,,0.001862182592352231,5.502084970474243,6.0,984.0817692279816,True,layerwise
32.0,128.0,results/search_Qwen_layerwise_20/exp_003_taylor_seq_len32_taylor_num_samples128,12.017768859863281,0.5940228377828652,0.653822629969419,0.764961915125136,0.6799442342162916,0.6053670086819258,0.6473063973063973,0.3967576791808874,0.41,,0.20000183538653477,4.883739529832199,5.599357574305292,,,0.0031105037778615947,8.339149157206217,6.0,1032.252372264862,True,layerwise
32.0,256.0,results/search_Qwen_layerwise_20/exp_004_taylor_seq_len32_taylor_num_samples256,11.862936019897461,0.5939473953056086,0.6103975535168196,0.7682263329706203,0.6816371240788688,0.6077348066298343,0.6666666666666666,0.4129692832764505,0.41,,0.20000183538653477,5.4380904530724,5.624762220341978,,,0.005423917435109615,12.823245644569397,6.0,1127.981357574463,True,layerwise
32.0,512.0,results/search_Qwen_layerwise_20/exp_005_taylor_seq_len32_taylor_num_samples512,11.724774360656738,0.5827870904523291,0.5902140672782875,0.7720348204570185,0.6759609639514041,0.5698500394632992,0.6473063973063973,0.4061433447098976,0.418,,0.20000151604272376,5.439043775624393,5.802945151841678,,,0.008682514851291975,20.90284492572149,6.0,1315.00306224823,True,layerwise
64.0,4.0,results/search_Qwen_layerwise_20/exp_006_taylor_seq_len64_taylor_num_samples4,15.356106758117676,0.5898027368192843,0.6862385321100918,0.7247007616974973,0.6459868552081258,0.5974743488555643,0.664983164983165,0.41723549488054607,0.392,,0.20000074289454978,3.181018381980007,5.356055656778723,,,0.00026930371920267737,1.2150084177652996,4.0,998.6959550380707,True,layerwise
64.0,64.0,results/search_Qwen_layerwise_20/exp_007_taylor_seq_len64_taylor_num_samples64,12.511103630065918,0.5769062524738156,0.6495412844036698,0.7312295973884657,0.6515634335789683,0.6606156274664562,0.6069023569023569,0.3924914675767918,0.346,,0.20000047397344578,7.711641940809486,2.600961456652014,,,0.0036308386673529944,2.8015209635098772,3.0,1007.3595798015594,True,layerwise
